,y_true,y_prob,y_raw
0,1,0.9534912,3.0204897
1,1,0.9273012,2.5459538
2,1,0.93024147,2.5904055
3,1,0.31890854,-0.7587923
4,1,0.9633151,3.2680154
5,0,0.9338719,2.647745
6,1,0.94466996,2.8375208
7,1,0.89318246,2.1236684
8,1,0.9413958,2.7765572
9,1,0.9079359,2.288689
10,1,0.85732836,1.7932746
11,1,0.95070475,2.9593768
12,0,0.49969953,-0.0012017302
13,1,0.92424047,2.5014074
14,1,0.6811825,0.7592114
15,1,0.9822689,4.0145454
16,1,0.95801616,3.1275814
17,1,0.71280336,0.9090384
18,0,0.28100333,-0.9394902
19,1,0.89365566,2.128638
20,1,0.96176,3.224881
21,1,0.9275543,2.549714
22,1,0.9315614,2.6109245
23,0,0.7394027,1.0428666
24,1,0.9676316,3.3976686
25,1,0.9246236,2.5068924
26,1,0.93609893,2.6843846
27,0,0.02720245,-3.576869
28,1,0.94758373,2.8946984
29,0,0.02476333,-3.6733162
30,1,0.6732488,0.722916
31,0,0.67081213,0.7118605
32,0,0.023429474,-3.7300522
33,1,0.8359379,1.6283098
34,1,0.94957733,2.9355752
35,1,0.9645903,3.3047178
36,1,0.9404935,2.7603204
37,1,0.7819482,1.2770559
38,1,0.962517,3.245663
39,1,0.9714542,3.527284
40,1,0.95196563,2.9866135
41,0,0.2180659,-1.2769731
42,1,0.9902361,4.619256
43,1,0.9220827,2.4709876
44,0,0.3105005,-0.7977805
45,1,0.97613144,3.7110355
46,1,0.9259903,2.5266676
47,0,0.02152948,-3.8165674
48,1,0.947318,2.8893611
49,0,0.06892935,-2.6032531
50,1,0.9321909,2.6208408
51,1,0.9405534,2.7613897
52,1,0.9353578,2.6720626
53,1,0.9539257,3.03033
54,1,0.94004226,2.7522848
55,1,0.98006666,3.8952281
56,1,0.931799,2.6146572
