,y_true,y_prob,y_raw
0,1,0.97562623,3.6895702
1,1,0.9792749,3.8554685
2,0,0.021297302,-3.8276474
3,0,0.62411654,0.50705785
4,1,0.93465114,2.6604335
5,1,0.9247205,2.508285
6,0,0.3587303,-0.5808792
7,1,0.93340254,2.6401699
8,0,0.02118894,-3.8328593
9,1,0.95039326,2.95275
10,0,0.01912383,-3.937511
11,1,0.9723635,3.5605924
12,1,0.9295997,2.5805554
13,1,0.9780238,3.795576
14,0,0.23355958,-1.1883197
15,0,0.015596909,-4.144963
16,0,0.020952838,-3.8443058
17,1,0.82755154,1.5683731
18,1,0.96817476,3.4151525
19,0,0.018212477,-3.987268
20,1,0.9728237,3.5778563
21,1,0.93676114,2.6955092
22,0,0.031171346,-3.4365885
23,1,0.92385024,2.495848
24,0,0.027594678,-3.5621498
25,0,0.035693705,-3.2964346
26,1,0.73586696,1.0245963
27,0,0.14907175,-1.7419001
28,1,0.8191043,1.5102912
29,0,0.033199232,-3.3714657
30,1,0.91700304,2.4023063
31,1,0.9217349,2.4661562
32,1,0.83218294,1.601178
33,0,0.020818058,-3.8508966
34,0,0.9643753,3.2984412
35,0,0.035839118,-3.2922182
36,1,0.9322911,2.6224267
37,1,0.6149549,0.46818838
38,0,0.035951916,-3.2889588
39,0,0.023630865,-3.721287
40,1,0.9309852,2.6019223
41,1,0.9024989,2.225304
42,1,0.937613,2.70998
43,0,0.2629352,-1.0307683
44,0,0.020907352,-3.8465254
45,0,0.022975268,-3.7500937
46,0,0.018527817,-3.9697804
47,1,0.9302972,2.5912635
48,0,0.012985364,-4.330862
49,1,0.9482001,2.9071782
50,1,0.9861415,4.264906
51,0,0.74767387,1.0862447
52,0,0.019004337,-3.9439008
53,1,0.9456883,2.8571737
54,0,0.041727338,-3.1339757
55,0,0.023924943,-3.708618
56,1,0.9247328,2.5084608
57,0,0.01210578,-4.4018927
58,1,0.9444698,2.8336976
59,0,0.5549949,0.22087318
60,1,0.89689213,2.1631603
61,1,0.92890584,2.5700023
62,1,0.96293974,3.2574465
63,0,0.016986616,-4.058197
64,1,0.8535412,1.7626493
65,1,0.83948123,1.6543736
66,1,0.96556574,3.3336613
67,1,0.80998015,1.449881
68,0,0.02379269,-3.7142966
69,1,0.8269365,1.5640688
70,1,0.917859,2.4136062
71,1,0.9739139,3.6199224
72,0,0.9034916,2.236637
73,0,0.043061644,-3.1011064
74,0,0.028421026,-3.5317934
75,1,0.29316923,-0.88004136
76,1,0.9534262,3.0190232
77,0,0.01274613,-4.3496995
78,1,0.9344685,2.6574466
79,1,0.965995,3.3466501
80,1,0.9584778,3.1391184
81,0,0.01695846,-4.0598845
82,1,0.7660627,1.186211
83,0,0.81806326,1.5032805
84,1,0.77729625,1.2499789
85,1,0.9318015,2.6146972
86,1,0.9499377,2.9431274
87,0,0.020982914,-3.8428407
88,0,0.013018345,-4.328292
89,1,0.9550657,3.0565808
