,y_true,y_prob,y_raw
0,0,0.026810085,-3.5918012
1,1,0.9023451,2.2235568
2,1,0.84060067,1.6627043
3,0,0.018212477,-3.987268
4,0,0.4582072,-0.16756207
5,1,0.9346007,2.6596088
6,1,0.93676114,2.6955092
7,0,0.025152082,-3.6573408
8,1,0.90827954,2.292806
9,1,0.9854499,4.2155056
10,1,0.9322911,2.6224267
11,0,0.640669,0.57826877
12,1,0.96705085,3.379284
13,1,0.9764865,3.7263858
14,0,0.022204101,-3.785024
15,0,0.03785888,-3.2352955
16,1,0.9645482,3.3034842
17,0,0.019613037,-3.911753
18,1,0.9165644,2.3965576
19,0,0.95997375,3.1773703
20,1,0.8853643,2.0442402
21,1,0.9739139,3.6199224
22,0,0.2585795,-1.0533649
23,1,0.9344685,2.6574466
24,1,0.96974766,3.4674618
25,0,0.020982914,-3.8428407
26,1,0.8646435,1.8544053
27,1,0.9672317,3.3849766
28,1,0.9560867,3.08063
29,0,0.022779455,-3.7588532
30,1,0.96410733,3.2906673
31,1,0.9486065,2.9154818
32,1,0.9819624,3.9970953
33,0,0.73056346,0.99748325
34,1,0.98040044,3.9124556
35,0,0.284034,-0.9245386
36,1,0.9476499,2.8960316
37,1,0.94209915,2.7893777
38,1,0.93441707,2.6566074
39,1,0.9069297,2.2767096
40,1,0.9722037,3.5546634
41,1,0.8935981,2.1280324
42,1,0.9528418,3.0059407
43,1,0.9828781,4.0501246
44,1,0.9677917,3.4027903
45,1,0.9221344,2.4717069
46,1,0.69021106,0.80110633
47,0,0.020893155,-3.8472192
48,1,0.9413479,2.7756891
49,1,0.9689359,3.4401436
50,1,0.93457043,2.6591127
51,0,0.042576555,-3.112942
52,1,0.951036,2.9664648
53,1,0.5671095,0.27006772
54,1,0.95229506,2.9938407
55,0,0.023668697,-3.7196486
56,1,0.9676148,3.3971326
57,1,0.941554,2.7794282
58,1,0.9537049,3.025317
59,1,0.8903798,2.0946267
60,1,0.9780205,3.7954183
61,0,0.017860427,-4.007146
62,1,0.9564347,3.0889533
63,1,0.8680651,1.8839585
64,1,0.97002375,3.4769151
65,0,0.93549466,2.6743271
66,1,0.9435187,2.815708
67,1,0.8914309,2.1054409
68,1,0.6134673,0.4619105
69,0,0.63378835,0.5485035
70,1,0.97061306,3.4973774
71,1,0.8685532,1.8882272
72,1,0.97835505,3.8111022
73,1,0.9746063,3.6475327
74,0,0.83458644,1.618488
75,1,0.96372974,3.2798133
76,1,0.95714974,3.1062498
77,1,0.97593915,3.7028165
78,1,0.877165,1.9658533
79,0,0.018802892,-3.9547627
80,1,0.94036937,2.7581034
81,1,0.952568,2.9998636
82,1,0.04130888,-3.1444914
83,0,0.38678798,-0.46083418
84,1,0.9705056,3.4936178
85,0,0.033490777,-3.3624208
86,1,0.9544989,3.0434496
87,1,0.9365319,2.6916463
88,1,0.8947589,2.1403
89,0,0.022341555,-3.778712
90,1,0.96853685,3.4269707
91,1,0.9697804,3.4685764
92,0,0.03919595,-3.199197
93,1,0.9030099,2.2311242
94,0,0.0636194,-2.6891036
95,1,0.95162636,2.9792173
96,1,0.9527716,3.0043805
97,0,0.796845,1.3666908
98,1,0.98310846,4.0639095
99,1,0.95095146,2.964651
100,0,0.060561746,-2.7416186
101,1,0.9558697,3.0754733
102,1,0.97295076,3.5826716
103,1,0.9562455,3.0844185
104,1,0.9223741,2.4750504
105,1,0.9815456,3.9738302
106,1,0.9495281,2.9345477
107,0,0.22232372,-1.2521758
108,1,0.9850803,4.1900377
109,1,0.73792565,1.0352148
110,1,0.85721225,1.7923263
111,1,0.9781261,3.8003457
112,1,0.8917169,2.1083992
113,0,0.040758926,-3.1584675
114,1,0.9696147,3.4629388
115,1,0.94566774,2.856773
116,0,0.023872593,-3.710862
117,1,0.92062104,2.4508154
118,1,0.9910947,4.7121625
