,y_true,y_prob,y_raw
0,1,0.65924406,0.65992725
1,0,0.036559716,-3.2715635
2,1,0.651939,0.627573
3,0,0.023396801,-3.731481
4,0,0.030196162,-3.469379
5,1,0.65733093,0.65142244
6,1,0.64037627,0.57699776
7,0,0.03153839,-3.4245033
8,0,0.026615933,-3.5992687
9,1,0.7317717,1.0036303
10,0,0.027107054,-3.58048
11,1,0.7047439,0.86999136
12,1,0.73991096,1.0455058
13,0,0.66688484,0.6941293
14,1,0.6473571,0.6074421
15,0,0.03831159,-3.222938
16,1,0.7356122,1.0232861
17,0,0.033046074,-3.3762481
18,1,0.6195429,0.4876084
19,1,0.7094242,0.89258933
20,0,0.029940816,-3.4781344
21,0,0.7254115,0.9714653
22,0,0.03153562,-3.424594
23,0,0.023940153,-3.7079668
24,0,0.04053129,-3.1643054
25,1,0.7018478,0.8561124
26,1,0.6954259,0.8256101
27,0,0.04667886,-3.0166605
28,1,0.70145047,0.8542144
29,1,0.68238294,0.7647445
30,1,0.65036476,0.6206429
31,0,0.034300312,-3.3376985
32,1,0.7155233,0.922363
33,0,0.024295678,-3.692861
34,1,0.63462704,0.5521187
35,1,0.7194491,0.9417304
36,1,0.7137619,0.91372573
37,1,0.67354256,0.72425157
38,0,0.0263502,-3.6095757
39,0,0.034590278,-3.32898
40,0,0.62877125,0.526949
41,1,0.72865254,0.9877967
42,1,0.6807971,0.75743717
43,1,0.7306167,0.9977539
44,0,0.69773465,0.83653367
45,1,0.72574955,0.97316337
46,1,0.6996697,0.8457256
47,1,0.7315348,1.0024233
48,1,0.6654711,0.6877719
49,1,0.64512646,0.597685
50,1,0.7223918,0.95635694
51,0,0.038085055,-3.229104
52,0,0.6955609,0.8262473
53,0,0.035133466,-3.3128357
54,1,0.64294964,0.58818966
55,0,0.029977715,-3.4768648
56,1,0.7468276,1.0817634
57,0,0.030015383,-3.4755702
58,1,0.72764623,0.98271316
59,1,0.680511,0.7561211
60,1,0.728009,0.9845442
61,1,0.7203271,0.9460847
62,0,0.6751013,0.7313493
63,0,0.037149806,-3.2549393
64,1,0.7328737,1.0092517
65,1,0.64362335,0.5911254
66,1,0.7174208,0.93170375
67,1,0.7488921,1.0927123
68,0,0.031859234,-3.4140503
69,0,0.7155172,0.92233294
70,0,0.64054805,0.5777436
71,1,0.65018815,0.6198663
72,1,0.64793515,0.6099753
73,0,0.03734872,-3.2493925
74,0,0.03421051,-3.340413
75,1,0.027701994,-3.558158
76,1,0.7399427,1.0456709
77,1,0.7057811,0.8749812
78,0,0.022101425,-3.789764
79,1,0.72144675,0.95164955
80,0,0.028555907,-3.5269198
81,1,0.69926935,0.843821
82,1,0.7121815,0.9060026
83,1,0.71784395,0.9337917
84,0,0.026052468,-3.621245
85,0,0.033707444,-3.355748
86,1,0.6525179,0.6301255
87,0,0.69589627,0.8278319
88,0,0.026680145,-3.5967932
89,0,0.028247153,-3.5381088
90,1,0.7168968,0.92912024
91,0,0.028706335,-3.521511
92,0,0.63548017,0.5558
93,0,0.024499694,-3.68429
94,0,0.03435597,-3.3360195
95,0,0.029770464,-3.484016
96,1,0.7209013,0.94893664
97,0,0.028900614,-3.514566
98,0,0.025711564,-3.6347666
99,0,0.028862525,-3.515924
100,1,0.7284186,0.9866137
101,1,0.6527864,0.6313098
102,1,0.63945544,0.5730013
103,1,0.72654575,0.97716707
104,1,0.7328639,1.0092019
105,1,0.7160454,0.92492926
106,0,0.6145177,0.46634242
107,1,0.735637,1.0234138
108,0,0.02398223,-3.7061677
109,1,0.70978403,0.8943351
110,1,0.6978116,0.83689857
111,1,0.694013,0.818948
112,1,0.63859344,0.5692644
113,0,0.031694908,-3.4193912
114,1,0.71893567,0.93918806
115,1,0.68293226,0.76728016
116,1,0.63309026,0.5454971
117,0,0.7069207,0.8804751
118,1,0.7342243,1.0161618
119,1,0.7063177,0.87756675
120,1,0.71299666,0.9099826
121,0,0.024338929,-3.6910381
122,1,0.7221662,0.95523226
123,1,0.72556585,0.9722406
124,1,0.6571048,0.6504186
125,0,0.029283816,-3.5009992
126,1,0.7122556,0.90636414
127,1,0.7074563,0.883062
128,1,0.7325516,1.0076072
129,1,0.6332801,0.54631436
130,0,0.03834241,-3.222102
131,0,0.025549218,-3.6412673
132,0,0.029486535,-3.4938915
133,1,0.71208954,0.90555435
134,0,0.639604,0.57364553
135,1,0.6672291,0.6956793
136,0,0.030360432,-3.4637842
137,1,0.6528302,0.6315029
138,0,0.6374678,0.56439036
139,1,0.641989,0.5840073
140,1,0.6553975,0.64285034
141,1,0.64684397,0.6051951
142,0,0.7203348,0.94612306
143,1,0.7542647,1.1214886
144,1,0.7507811,1.1027826
145,1,0.72500026,0.9694019
146,0,0.023079265,-3.745471
147,1,0.6626247,0.67501277
148,1,0.69796646,0.83763283
149,0,0.03133446,-3.431201
150,0,0.033927623,-3.3490093
151,0,0.6139782,0.46406555
152,1,0.6532127,0.6331913
153,1,0.6763526,0.7370598
154,0,0.027316308,-3.572575
155,0,0.025110483,-3.6590388
156,1,0.5937941,0.37967247
157,0,0.028188346,-3.5402534
158,1,0.6357041,0.5567669
159,1,0.7367902,1.0293516
160,1,0.6925467,0.8120528
161,1,0.6278876,0.5231653
162,0,0.030563507,-3.4569082
163,0,0.025578128,-3.6401067
164,0,0.031688537,-3.4195988
165,1,0.65283656,0.63153124
166,1,0.7203942,0.9464178
167,1,0.6563426,0.64703774
168,1,0.62796897,0.5235135
169,1,0.72176063,0.95321167
170,1,0.67670524,0.73867136
171,1,0.7469514,1.0824186
172,1,0.66582596,0.6893664
173,0,0.033169128,-3.372404
174,0,0.030743117,-3.4508636
175,0,0.6578277,0.65362865
176,0,0.031083655,-3.4394963
177,1,0.7265081,0.97697735
178,1,0.717166,0.9304471
179,1,0.6768899,0.7395155
180,0,0.02607491,-3.6203609
181,1,0.6673122,0.69605345
182,1,0.6452574,0.59825665
183,1,0.72878677,0.9884757
184,1,0.7242862,0.9658232
185,1,0.6351382,0.554324
186,0,0.66102177,0.6678508
187,1,0.65621483,0.6464711
188,1,0.718284,0.9359657
189,1,0.69977754,0.84623873
190,0,0.7100437,0.89559644
191,1,0.72547245,0.9717713
192,1,0.716388,0.9266146
193,1,0.7370186,1.0305299
194,1,0.6280359,0.52379984
195,1,0.6981375,0.8384443
196,0,0.02497723,-3.6644962
197,0,0.69889635,0.84204763
198,1,0.72793084,0.9841495
199,1,0.7306566,0.9979566
200,1,0.6597156,0.6620269
201,1,0.6481702,0.6110057
202,1,0.72243875,0.95659125
203,1,0.74930096,1.0948875
204,0,0.64188707,0.583564
205,1,0.6481983,0.6111292
206,0,0.6770067,0.74004966
207,1,0.708759,0.88936436
208,0,0.028496007,-3.5290813
209,1,0.708144,0.88638693
210,1,0.69700587,0.8330805
211,1,0.71974844,0.943214
212,1,0.68387514,0.7716382
213,1,0.7269933,0.97942096
214,1,0.71675825,0.92843765
215,1,0.70511097,0.871756
