,y_true,y_prob,y_raw
0,1,0.9282851,2.5606399
1,0,0.044795755,-3.0598118
2,1,0.9566103,3.0931742
3,0,0.028179655,-3.5405707
4,0,0.014899735,-4.1914
5,1,0.9108315,2.3238301
6,1,0.85116756,1.7437881
7,0,0.02298447,-3.7496839
8,0,0.026810085,-3.5918012
9,1,0.8978112,2.173137
10,0,0.026364041,-3.6090364
11,1,0.9615594,3.219442
12,1,0.9609307,3.202565
13,0,0.0692315,-2.5985546
14,1,0.9273014,2.5459564
15,0,0.024176516,-3.6979
16,1,0.8388153,1.6494391
17,0,0.029162087,-3.50529
18,1,0.8437316,1.6862594
19,1,0.9554162,3.0647762
20,0,0.035185076,-3.3113143
21,0,0.8693105,1.8948764
22,0,0.01582439,-4.130252
23,0,0.02335916,-3.7331297
24,0,0.0399007,-3.1806428
25,1,0.78386307,1.2883222
26,1,0.9023451,2.2235568
27,0,0.027119385,-3.5800126
28,1,0.893136,2.123182
29,1,0.9077045,2.285923
30,1,0.96108145,3.2065876
31,0,0.02866447,-3.5230136
32,1,0.9828377,4.047728
33,0,0.028263303,-3.5375206
34,1,0.9662489,3.3544095
35,1,0.95547926,3.0662568
36,1,0.7706787,1.2121474
37,1,0.72125894,0.95071507
38,0,0.022697391,-3.7625463
39,0,0.036197826,-3.281887
40,0,0.57716143,0.3111316
41,1,0.95426816,3.0381515
42,1,0.94849604,2.9132178
43,1,0.9393716,2.7404478
44,0,0.59071404,0.36691797
45,1,0.9861128,4.262806
46,1,0.9671391,3.3820615
47,1,0.8349881,1.6214004
48,1,0.97562623,3.6895702
49,1,0.9264001,2.5326626
50,1,0.9495835,2.9357052
51,0,0.04173926,-3.1336777
52,0,0.5047065,0.018826727
53,0,0.03697607,-3.2598073
54,1,0.9255279,2.5199397
55,0,0.036993068,-3.25933
56,1,0.9730123,3.5850155
57,0,0.018533936,-3.969444
58,1,0.92068,2.4516222
59,1,0.9534912,3.02049
60,1,0.6820853,0.76337135
61,1,0.98451656,4.1523833
62,0,0.17133036,-1.576228
63,0,0.061762396,-2.7207086
64,1,0.92978966,2.583463
65,1,0.9792749,3.8554685
66,1,0.91406834,2.364353
67,1,0.955282,3.0616288
68,0,0.04081054,-3.1571481
69,0,0.33036435,-0.70653766
70,0,0.29816678,-0.85604274
71,1,0.9236346,2.4927862
72,1,0.93284583,2.6312501
73,0,0.059186246,-2.766056
74,0,0.05106331,-2.9222758
75,1,0.14524224,-1.772415
76,1,0.969466,3.4579031
77,1,0.75304186,1.1149021
78,0,0.022281475,-3.7814662
79,1,0.88251185,2.016435
80,0,0.020544538,-3.8644016
81,1,0.78467345,1.2931117
82,1,0.9653747,3.327931
83,1,0.9741776,3.630352
84,0,0.021297302,-3.8276474
85,0,0.04530078,-3.048072
86,1,0.96571845,3.3382661
87,0,0.6374242,0.5642017
88,0,0.015509012,-4.1507034
89,0,0.025751637,-3.633168
90,1,0.9454982,2.8534787
91,0,0.01667327,-4.0771346
