,y_true,y_prob,y_raw
0,1,0.9861128,4.262806
1,1,0.97562623,3.6895702
2,1,0.9534912,3.02049
3,1,0.955282,3.0616288
4,0,0.021297302,-3.8276474
5,1,0.93465114,2.6604335
6,1,0.9247205,2.508285
7,0,0.3587303,-0.5808792
8,0,0.03193491,-3.4115996
9,0,0.051457074,-2.914179
10,0,0.02118894,-3.8328593
11,1,0.84060067,1.6627043
12,1,0.9723635,3.5605924
13,1,0.9295997,2.5805554
14,1,0.95969635,3.1701763
15,1,0.94332933,2.8121583
16,0,0.23355958,-1.1883197
17,0,0.020952838,-3.8443058
18,1,0.9677145,3.4003205
19,1,0.9400751,2.7528672
20,1,0.9265289,2.5345526
21,1,0.9717989,3.5397897
22,1,0.96817476,3.4151525
23,1,0.95955235,3.1664588
24,1,0.9697976,3.4691677
25,0,0.4582072,-0.16756207
26,1,0.9593149,3.1603565
27,1,0.9728237,3.5778563
28,0,0.04138089,-3.1426747
29,1,0.31890854,-0.7587923
30,0,0.482764,-0.06897118
31,1,0.9099147,2.3125937
32,0,0.06139753,-2.7270224
33,0,0.031171346,-3.4365885
34,1,0.9677193,3.4004729
35,1,0.92385024,2.495848
36,1,0.9633151,3.2680156
37,0,0.027594678,-3.5621498
38,0,0.035693705,-3.2964346
39,1,0.73586696,1.0245963
40,1,0.95845586,3.138567
41,0,0.14907175,-1.7419001
42,0,0.6877294,0.7895255
43,0,0.018354962,-3.9793298
44,1,0.8764775,1.959487
45,1,0.8191043,1.5102912
46,1,0.95763886,3.1182396
47,0,0.46909615,-0.12377322
48,0,0.033199232,-3.3714657
49,1,0.91700304,2.4023063
50,1,0.9217349,2.4661562
51,1,0.9448299,2.8405836
52,0,0.036917374,-3.261457
53,1,0.90827954,2.292806
54,1,0.89738137,2.168461
55,1,0.9918475,4.8012466
56,0,0.020818058,-3.8508966
57,1,0.9450481,2.8447769
58,0,0.9643753,3.2984412
59,1,0.9594639,3.16418
60,0,0.037922066,-3.2335622
61,0,0.5241961,0.096860036
62,0,0.025717938,-3.6345122
63,1,0.9735396,3.6052887
64,0,0.035839118,-3.2922182
65,0,0.035951916,-3.2889588
66,0,0.640669,0.57826877
67,0,0.62200254,0.49805668
68,1,0.90372425,2.2393079
69,1,0.9309852,2.6019223
70,1,0.96705085,3.379284
71,0,0.645903,0.60107815
72,1,0.937613,2.70998
73,1,0.86620516,1.8678144
74,1,0.9408312,2.7663689
75,0,0.2629352,-1.0307683
76,1,0.9264202,2.5329578
77,1,0.9492606,2.9289794
78,1,0.9782164,3.8045762
79,0,0.020907352,-3.8465254
80,1,0.9584756,3.1390626
81,0,0.022975268,-3.7500937
82,0,0.018527817,-3.9697804
83,0,0.7581881,1.1427717
84,0,0.020100677,-3.8866963
85,0,0.93046176,2.5938046
86,1,0.9482001,2.9071782
87,0,0.022204101,-3.785024
88,1,0.9861415,4.264906
89,0,0.74767387,1.0862447
90,0,0.022462817,-3.773175
91,1,0.89318246,2.123669
92,0,0.019004337,-3.9439008
93,1,0.96791446,3.40674
94,1,0.9413958,2.7765572
95,0,0.46921957,-0.123277605
96,1,0.92929363,2.5758884
97,0,0.03871511,-3.212041
98,0,0.041727338,-3.1339757
99,1,0.9079359,2.288689
100,1,0.96976185,3.4679453
101,1,0.9460441,2.8641226
102,0,0.023924943,-3.708618
103,1,0.9279588,2.5557477
104,0,0.23663147,-1.1712371
105,1,0.9247328,2.5084608
106,1,0.95134324,2.9730854
107,1,0.99202955,4.82402
108,1,0.97112894,3.515619
109,0,0.01210578,-4.4018927
110,1,0.97501546,3.6641967
111,0,0.041281205,-3.1451905
112,0,0.5567863,0.22812945
113,1,0.91320837,2.3534544
114,0,0.2781068,-0.95387197
115,1,0.9647138,3.3083394
116,0,0.025179071,-3.6562407
117,1,0.914383,2.368365
118,0,0.022911655,-3.7529314
119,1,0.97373873,3.6130486
120,1,0.94364375,2.8180563
121,0,0.025926288,-3.6262295
122,0,0.024955615,-3.665384
123,0,0.019613037,-3.911753
124,0,0.42866662,-0.2872935
