,y_true,y_prob,y_raw
0,1,0.9792749,3.8554685
1,0,0.021297302,-3.8276474
2,0,0.62411654,0.50705785
3,0,0.026250772,-3.6134584
4,1,0.948924,2.922014
5,1,0.9247205,2.508285
6,0,0.3587303,-0.5808792
7,0,0.03193491,-3.4115996
8,1,0.84060067,1.6627043
9,1,0.70266193,0.8600062
10,1,0.9780238,3.795576
11,0,0.23355958,-1.1883197
12,0,0.015596909,-4.144963
13,0,0.020952838,-3.8443058
14,1,0.9717989,3.5397897
15,1,0.95362955,3.0236132
16,1,0.9593149,3.1603565
17,1,0.9677193,3.4004729
18,0,0.027594678,-3.5621498
19,0,0.035693705,-3.2964346
20,1,0.8764775,1.959487
21,1,0.8191043,1.5102912
22,0,0.036917374,-3.261457
23,1,0.9562172,3.083744
24,1,0.96586424,3.3426766
25,0,0.025717938,-3.6345122
26,1,0.9322911,2.6224267
27,1,0.90372425,2.2393079
28,0,0.023630865,-3.721287
29,1,0.95173615,2.9816039
30,0,0.2629352,-1.0307683
31,0,0.4674774,-0.13027433
32,0,0.020907352,-3.8465254
33,0,0.022975268,-3.7500937
34,0,0.018527817,-3.9697804
35,1,0.9645056,3.3022406
36,0,0.012985364,-4.330862
37,1,0.94466996,2.8375206
38,0,0.74767387,1.0862447
39,1,0.9456883,2.8571737
40,0,0.46921957,-0.123277605
41,0,0.03871511,-3.212041
42,0,0.68465513,0.7752484
43,0,0.3512278,-0.6136467
44,1,0.9079359,2.288689
45,1,0.9279588,2.5557477
46,1,0.92487055,2.5104406
47,0,0.2781068,-0.95387197
48,0,0.025179071,-3.6562407
49,1,0.9353671,2.6722152
50,0,0.024955615,-3.665384
51,0,0.019613037,-3.911753
52,1,0.92890584,2.5700023
53,0,0.016986616,-4.058197
54,1,0.8186869,1.507476
55,1,0.7962901,1.3632666
56,1,0.8535412,1.7626493
57,1,0.97449684,3.6431198
58,0,0.02563086,-3.637993
59,0,0.39907795,-0.40930846
60,1,0.9739139,3.6199224
61,0,0.05206494,-2.9017942
62,1,0.9519287,2.9858038
63,1,0.9534262,3.0190232
64,0,0.01274613,-4.3496995
65,0,0.53034204,0.121517465
66,0,0.022816883,-3.7571733
67,1,0.965995,3.3466501
68,0,0.01695846,-4.0598845
69,1,0.7660627,1.186211
70,1,0.9753702,3.6788614
71,0,0.81806326,1.5032805
72,1,0.9318015,2.6146972
73,1,0.9499377,2.9431274
74,0,0.6482721,0.61145264
75,0,0.31595463,-0.7724256
76,0,0.020982914,-3.8428407
77,1,0.95406216,3.0334406
78,0,0.02901729,-3.5104167
79,1,0.888367,2.0741684
80,1,0.9419132,2.7859747
81,0,0.019151306,-3.9360473
82,1,0.92363185,2.492747
83,1,0.9018364,2.2177975
84,1,0.92558557,2.5207765
85,1,0.9474145,2.8912964
86,0,0.44460678,-0.22248602
87,1,0.9672317,3.3849766
88,0,0.7722282,1.2209357
89,0,0.5124948,0.049989652
90,1,0.9380792,2.7179782
91,1,0.95142764,2.9749086
92,0,0.022779455,-3.7588532
93,1,0.66937083,0.70534074
94,1,0.95254475,2.9993494
95,0,0.027928239,-3.5497913
96,1,0.8275004,1.5680147
97,0,0.026077831,-3.620246
98,1,0.97776425,3.7835677
99,1,0.9296146,2.580784
100,0,0.76380974,1.1736814
101,1,0.9129297,2.3499432
102,1,0.85769457,1.7962726
103,1,0.84905314,1.7271941
104,1,0.94502693,2.8443692
105,0,0.43100172,-0.27776536
106,0,0.016719256,-4.0743337
107,1,0.972651,3.5713449
108,0,0.39281657,-0.4354882
109,1,0.9476499,2.8960316
110,1,0.98061323,3.9235866
111,0,0.45547685,-0.17856564
112,1,0.70469594,0.86976075
113,1,0.891786,2.109115
114,0,0.45633802,-0.175094
115,1,0.9598172,3.173302
116,0,0.32649568,-0.7240777
117,1,0.956977,3.1020448
118,1,0.93609893,2.6843843
119,1,0.8892202,2.0828006
120,1,0.95487636,3.052175
121,1,0.8756191,1.9515826
122,0,0.8257807,1.5560142
123,0,0.01999602,-3.8920233
124,1,0.92251706,2.4770482
125,0,0.039629,-3.1877584
126,0,0.5003382,0.0013526715
127,1,0.8991387,2.187691
128,0,0.031229226,-3.4346735
129,1,0.9116712,2.3342135
130,1,0.9852739,4.2033
131,0,0.024084613,-3.7018027
132,1,0.9892937,4.5261545
133,1,0.95684594,3.098867
134,1,0.9400744,2.752855
135,0,0.8529823,1.7581856
136,1,0.9540612,3.0334184
137,0,0.016529348,-4.0859504
138,1,0.9626987,3.2507112
139,1,0.90970105,2.3099897
140,1,0.9528304,3.005687
141,0,0.67081213,0.71186066
142,1,0.93753654,2.7086744
143,0,0.017528517,-4.0262423
144,1,0.9539996,3.0320127
145,0,0.028884288,-3.515148
146,0,0.36143482,-0.569142
147,1,0.8708566,1.9085536
148,1,0.95778155,3.1217623
149,1,0.9034113,2.235717
150,1,0.9935754,5.041177
151,1,0.982065,4.0029078
152,1,0.9780205,3.7954183
153,1,0.9787729,3.8310173
154,0,0.027650056,-3.560088
155,1,0.7706617,1.2120513
156,0,0.018561939,-3.9679058
157,0,0.024267485,-3.694051
158,0,0.5629551,0.25316367
159,0,0.5948153,0.38390815
160,0,0.0208975,-3.8470068
161,1,0.9828234,4.046879
162,0,0.5634333,0.2551076
163,0,0.23876165,-1.1594808
164,0,0.93549466,2.6743271
165,1,0.9272676,2.5454555
166,0,0.041240066,-3.1462305
167,1,0.9251813,2.514922
168,0,0.45541614,-0.17881028
169,1,0.6134673,0.4619105
170,0,0.01793787,-4.0027404
171,1,0.95230746,2.994113
172,0,0.014877445,-4.1929197
173,1,0.98950166,4.5459824
174,0,0.026095426,-3.6195533
175,1,0.8359379,1.6283097
176,1,0.8934715,2.1267016
177,1,0.982393,4.0216994
178,0,0.021091599,-3.8375633
179,0,0.041543256,-3.1385891
180,1,0.9404935,2.7603204
181,0,0.021342304,-3.8254907
182,1,0.897081,2.1652038
183,1,0.9326093,2.6274788
184,0,0.019182645,-3.9343803
185,0,0.032956973,-3.3790402
186,1,0.8979212,2.1743371
187,0,0.44425926,-0.2238935
188,0,0.02215873,-3.7871158
189,0,0.17029178,-1.5835608
190,0,0.0255957,-3.639402
191,1,0.8944429,2.1369493
192,1,0.97593915,3.7028165
193,0,0.4192576,-0.3258216
194,1,0.9463323,2.8697822
195,0,0.030364946,-3.463631
196,0,0.025308011,-3.6510005
197,1,0.94008195,2.7529895
198,0,0.3918001,-0.43975186
199,1,0.93838257,2.7232125
200,0,0.49229452,-0.030824445
201,1,0.877165,1.9658533
202,0,0.018802892,-3.9547627
203,1,0.9851933,4.1977587
204,1,0.8266889,1.5623403
205,1,0.7819482,1.2770557
206,1,0.89710134,2.165424
207,0,0.022720981,-3.7614834
208,1,0.79492503,1.3548722
209,1,0.9557114,3.0717304
210,1,0.8716571,1.9156902
211,1,0.8755046,1.9505318
212,1,0.93823665,2.7206924
213,1,0.90697736,2.277274
214,0,0.016653324,-4.078352
215,1,0.9576976,3.1196883
216,1,0.972219,3.5552301
217,0,0.6603506,0.66485703
218,0,0.032267075,-3.4009087
219,1,0.3715368,-0.52562964
220,1,0.94959176,2.9358766
221,1,0.9635009,3.2732863
222,1,0.9682298,3.4169395
223,1,0.9198683,2.440558
224,1,0.98313624,4.065584
225,0,0.022321701,-3.7796214
226,1,0.97132516,3.5226424
227,1,0.9198768,2.4406745
228,1,0.9697804,3.4685764
229,0,0.019566357,-3.9141834
230,0,0.023475597,-3.7280383
231,1,0.959968,3.17722
232,0,0.41660345,-0.33673236
233,0,0.024228308,-3.6957068
234,0,0.023993956,-3.7056668
235,1,0.87631303,1.957969
236,1,0.953111,3.0119488
237,1,0.86902696,1.8923829
238,0,0.02152948,-3.8165674
239,0,0.59937847,0.4028761
240,1,0.97395295,3.6214573
241,1,0.8043847,1.4139279
242,0,0.030584997,-3.4561832
243,0,0.049022973,-2.965201
