,y_true,y_prob,y_raw
0,1,0.984504,4.151555
1,1,0.95955235,3.1664588
2,0,0.036917374,-3.261457
3,0,0.025717938,-3.6345122
4,0,0.4674774,-0.13027433
5,0,0.7581881,1.1427717
6,0,0.022204101,-3.785024
7,0,0.46921957,-0.123277605
8,0,0.03871511,-3.212041
9,0,0.03785888,-3.2352955
10,1,0.85497993,1.7742053
11,1,0.7962901,1.3632666
12,0,0.027665537,-3.5595124
13,1,0.9644872,3.3017042
14,0,0.53034204,0.121517465
15,0,0.021283044,-3.8283317
16,1,0.9366181,2.693096
17,1,0.97879624,3.8321455
18,1,0.9672317,3.3849766
19,0,0.5124948,0.049989652
20,0,0.3980799,-0.41347197
21,0,0.030116454,-3.4721043
22,0,0.024259504,-3.6943882
23,0,0.44382104,-0.22566889
24,0,0.40035224,-0.40399754
25,1,0.95856243,3.1412466
26,1,0.69021106,0.80110633
27,1,0.93774414,2.7122245
28,1,0.936925,2.6982782
29,0,0.50583833,0.023354251
30,1,0.6938208,0.818043
31,0,0.03596835,-3.2884848
32,0,0.015622992,-4.1432652
33,0,0.027650056,-3.560088
34,0,0.041240066,-3.1462305
35,1,0.9251813,2.514922
36,1,0.97061306,3.4973774
37,1,0.9378966,2.7148385
38,0,0.021091599,-3.8375633
39,1,0.91131026,2.3297384
40,1,0.9746063,3.6475327
41,0,0.019182645,-3.9343803
42,0,0.0255957,-3.639402
43,0,0.025308011,-3.6510005
44,1,0.94008195,2.7529895
45,0,0.38678798,-0.46083418
46,1,0.92563033,2.521426
47,0,0.023475597,-3.7280383
48,0,0.024228308,-3.6957068
49,0,0.023993956,-3.7056668
50,0,0.9457536,2.858445
51,1,0.8935103,2.1271098
52,0,0.049022973,-2.965201
53,0,0.018413486,-3.9760869
54,1,0.9223741,2.4750504
55,0,0.4468404,-0.21344522
56,1,0.6670154,0.6947167
57,0,0.6724475,0.71927565
58,1,0.9556558,3.0704148
59,1,0.9285049,2.563946
