,y_true,y_prob,y_raw
0,0,0.026810085,-3.5918012
1,1,0.9023451,2.2235568
2,1,0.9792749,3.8554685
3,0,0.6374242,0.5642017
4,1,0.934554,2.6588438
5,0,0.62411654,0.50705785
6,0,0.026250772,-3.6134584
7,1,0.948924,2.922014
8,0,0.03239804,-3.3967228
9,1,0.93340254,2.6401699
10,1,0.95039326,2.95275
11,0,0.01912383,-3.937511
12,0,0.023926133,-3.708567
13,1,0.70266193,0.8600062
14,1,0.9630153,3.2595675
15,1,0.96692574,3.3753684
16,1,0.9780238,3.795576
17,0,0.015596909,-4.144963
18,1,0.82755154,1.5683731
19,1,0.984504,4.151555
20,1,0.8310806,1.5933055
21,1,0.95362955,3.0236132
22,0,0.018212477,-3.987268
23,0,0.028838597,-3.516778
24,1,0.9273012,2.5459538
25,1,0.9456222,2.8558872
26,1,0.93024147,2.5904052
27,1,0.9405775,2.7618213
28,1,0.9346007,2.6596088
29,1,0.93676114,2.6955092
30,0,0.025152082,-3.6573408
31,1,0.9741882,3.6307719
32,1,0.90498596,2.253895
33,1,0.96356547,3.275122
34,0,0.02403646,-3.7038534
35,1,0.8705662,1.9059745
36,1,0.9600537,3.1794527
37,0,0.87970555,1.9896444
38,1,0.9659442,3.3451064
39,1,0.88258076,2.0170996
40,1,0.97277045,3.575846
41,1,0.982781,4.044373
42,1,0.986349,4.2801933
43,1,0.83218294,1.601178
44,1,0.93282425,2.6309044
45,1,0.93981475,2.7482567
46,1,0.9562172,3.083744
47,1,0.89666075,2.1606596
48,1,0.96586424,3.3426766
49,0,0.65067667,0.6220148
50,1,0.9854499,4.2155056
51,1,0.9322911,2.6224267
52,1,0.6149549,0.46818838
53,1,0.95258564,3.0002542
54,0,0.049032744,-2.9649913
55,1,0.9723217,3.5590355
56,1,0.76311505,1.1698344
57,0,0.023630865,-3.721287
58,1,0.9750954,3.6674798
59,1,0.96089166,3.201524
60,1,0.9024989,2.225304
61,1,0.96427166,3.2954276
62,1,0.9506705,2.9586444
63,1,0.91841584,2.4210153
64,1,0.9837781,4.1050396
65,1,0.9496399,2.9368844
66,1,0.9805132,3.918337
67,1,0.97412735,3.6283536
68,1,0.9360572,2.6836889
69,1,0.94031656,2.7571623
70,0,0.026996892,-3.5846655
71,0,0.9338718,2.6477444
72,1,0.9480008,2.903128
73,1,0.95173615,2.9816039
74,0,0.4674774,-0.13027433
75,1,0.97433835,3.63676
76,1,0.9645056,3.3022406
77,1,0.9832218,4.0707583
78,1,0.978455,3.8158338
79,1,0.9302972,2.5912635
80,0,0.012985364,-4.330862
81,1,0.9646561,3.306647
82,1,0.94901055,2.9238007
83,1,0.94466996,2.8375206
84,1,0.9764865,3.7263858
85,1,0.8876783,2.0672421
86,1,0.9409097,2.7677805
87,1,0.9456883,2.8571737
88,1,0.9860263,4.256505
89,0,0.42899185,-0.28596568
90,1,0.9764798,3.7260935
91,1,0.97484595,3.6572626
