,y_true,y_prob,y_raw
0,1,0.9861128,4.262806
1,0,0.6374242,0.5642017
2,1,0.934554,2.6588438
3,1,0.93465114,2.6604335
4,0,0.03239804,-3.3967228
5,1,0.9247205,2.508285
6,1,0.9295997,2.5805554
7,1,0.9630153,3.2595675
8,1,0.94332933,2.8121583
9,1,0.96692574,3.3753684
10,0,0.23355958,-1.1883197
11,1,0.984504,4.151555
12,1,0.9677145,3.4003205
13,1,0.8310806,1.5933055
14,1,0.9400751,2.7528672
15,0,0.028838597,-3.516778
16,1,0.9593149,3.1603565
17,1,0.9273012,2.5459538
18,1,0.9456222,2.8558872
19,1,0.9728237,3.5778563
20,1,0.93024147,2.5904052
21,1,0.9405775,2.7618213
22,1,0.31890854,-0.7587923
23,1,0.9099147,2.3125937
24,0,0.06139753,-2.7270224
25,1,0.9741882,3.6307719
26,1,0.73586696,1.0245963
27,0,0.14907175,-1.7419001
28,0,0.02403646,-3.7038534
29,1,0.8705662,1.9059745
30,1,0.9600537,3.1794527
31,0,0.87970555,1.9896444
32,1,0.9659442,3.3451064
33,1,0.88258076,2.0170996
34,0,0.46909615,-0.12377322
35,1,0.97277045,3.575846
36,1,0.986349,4.2801933
37,1,0.83218294,1.601178
38,1,0.93282425,2.6309044
39,1,0.89666075,2.1606596
40,1,0.96586424,3.3426766
41,1,0.9735396,3.6052887
42,1,0.95258564,3.0002542
43,0,0.049032744,-2.9649913
44,1,0.9723217,3.5590355
45,1,0.76311505,1.1698344
46,1,0.90372425,2.2393079
47,1,0.9309852,2.6019223
48,1,0.9750954,3.6674798
49,0,0.645903,0.60107815
50,1,0.96089166,3.201524
51,1,0.9024989,2.225304
52,1,0.9506705,2.9586444
53,1,0.91841584,2.4210153
54,1,0.9805132,3.918337
55,1,0.97412735,3.6283536
56,1,0.9360572,2.6836889
57,1,0.94031656,2.7571623
58,1,0.86620516,1.8678144
59,0,0.9338718,2.6477444
60,1,0.95173615,2.9816039
61,0,0.4674774,-0.13027433
62,1,0.9492606,2.9289794
63,1,0.97433835,3.63676
64,1,0.9782164,3.8045762
65,0,0.020907352,-3.8465254
66,1,0.9645056,3.3022406
67,0,0.7581881,1.1427717
68,1,0.978455,3.8158338
69,0,0.020100677,-3.8866963
70,0,0.93046176,2.5938046
71,0,0.012985364,-4.330862
72,1,0.94466996,2.8375206
73,1,0.9409097,2.7677805
74,0,0.022462817,-3.773175
75,1,0.89318246,2.123669
76,1,0.96791446,3.40674
77,0,0.42899185,-0.28596568
78,1,0.92929363,2.5758884
79,1,0.97484595,3.6572626
80,1,0.9670591,3.3795455
81,0,0.68465513,0.7752484
82,0,0.023924943,-3.708618
83,0,0.023902364,-3.7095852
84,1,0.9279588,2.5557477
85,1,0.96414953,3.2918904
86,1,0.97112894,3.515619
87,1,0.94952005,2.9343796
88,1,0.9444698,2.8336976
89,0,0.5567863,0.22812945
90,0,0.5549949,0.22087318
91,0,0.025179071,-3.6562407
92,0,0.022911655,-3.7529314
93,1,0.9812583,3.95808
94,1,0.97373873,3.6130486
95,1,0.9353671,2.6722152
96,1,0.9597632,3.1719058
97,1,0.89689213,2.1631603
98,1,0.977271,3.7611232
99,1,0.9504862,2.9547226
100,1,0.92890584,2.5700023
101,1,0.7962901,1.3632666
102,1,0.6342435,0.5504651
103,0,0.48866403,-0.045351755
104,0,0.031319294,-3.4317007
105,0,0.44305965,-0.22875386
106,1,0.92562824,2.5213969
107,0,0.018045085,-3.9966722
108,1,0.93265545,2.628214
109,0,0.030493483,-3.4592743
110,1,0.95070475,2.9593768
111,1,0.9534752,3.020127
112,0,0.49969953,-0.0012017936
113,1,0.9810445,3.9465203
114,1,0.97543156,3.6814163
115,1,0.96556574,3.3336613
116,1,0.92424035,2.5014071
117,1,0.80998015,1.449881
118,0,0.02379269,-3.7142966
119,1,0.917859,2.4136062
120,1,0.6811825,0.7592114
121,0,0.027665537,-3.5595124
122,0,0.39907795,-0.40930846
123,1,0.9584795,3.1391628
124,1,0.9679689,3.408491
125,1,0.9116772,2.3342881
126,1,0.9792845,3.8559382
127,0,0.53662497,0.1467627
128,1,0.8104741,1.453094
129,1,0.96286786,3.2554343
130,1,0.9644872,3.3017042
131,1,0.9130263,2.351159
132,1,0.95727056,3.1091993
133,1,0.969402,3.4557464
134,1,0.96622944,3.3538115
135,1,0.9644109,3.2994778
136,1,0.98378134,4.1052384
137,1,0.9333803,2.6398125
138,1,0.97636014,3.7208965
139,0,0.022816883,-3.7571733
140,1,0.71280336,0.9090385
141,1,0.87213945,1.9200094
142,1,0.97057873,3.4961727
143,1,0.9584778,3.1391184
144,1,0.92853653,2.5644233
145,1,0.9753702,3.6788614
146,0,0.81806326,1.5032805
147,1,0.9318015,2.6146972
148,1,0.9467599,2.8782337
149,0,0.03834314,-3.2220821
150,1,0.93125147,2.606074
151,1,0.95406216,3.0334406
152,1,0.87972414,1.9898208
153,1,0.9547052,3.0482094
154,0,0.02901729,-3.5104167
155,0,0.013018345,-4.328292
156,1,0.9550657,3.0565808
157,1,0.95046216,2.9542122
158,1,0.98008156,3.8959858
159,1,0.96756303,3.3954813
160,1,0.888367,2.0741684
161,1,0.97879624,3.8321455
162,1,0.9419132,2.7859747
163,1,0.9805031,3.9178078
164,1,0.9584893,3.139405
165,1,0.94555324,2.8545468
166,1,0.9395197,2.743052
167,1,0.92363185,2.492747
168,0,0.6685875,0.7018035
169,1,0.9284108,2.5625315
170,1,0.9474145,2.8912964
171,1,0.9691694,3.447931
172,1,0.8354542,1.6247869
173,1,0.76516277,1.1811961
174,1,0.9380792,2.7179782
175,1,0.90010554,2.1983974
176,0,0.04401581,-3.0781925
177,0,0.023030125,-3.7476528
178,1,0.9746858,3.65075
179,0,0.43205437,-0.27347425
180,1,0.95142764,2.9749086
181,1,0.9665041,3.362264
182,1,0.9402547,2.756059
183,0,0.31049448,-0.79780847
184,0,0.44241333,-0.23137346
185,1,0.9183487,2.4201195
186,0,0.3980799,-0.41347197
187,1,0.9296146,2.580784
188,0,0.017574165,-4.023595
189,0,0.28100333,-0.9394902
190,0,0.76380974,1.1736814
191,1,0.9749535,3.6616535
192,1,0.9777646,3.7835839
193,1,0.89365566,2.128638
194,1,0.99012345,4.6076655
195,1,0.95870495,3.144841
