,y_true,y_prob,y_raw
0,0,0.031934902,-3.4115999
1,1,0.9717989,3.5397897
2,1,0.9697976,3.4691675
3,1,0.9677193,3.4004724
4,1,0.904986,2.2538953
5,1,0.95845586,3.1385677
6,1,0.982781,4.0443735
7,1,0.9918475,4.8012466
8,0,0.65067667,0.62201476
9,1,0.96705085,3.379284
10,1,0.9837781,4.1050406
11,1,0.9584756,3.1390631
12,1,0.9832218,4.070758
13,0,0.23663147,-1.1712371
14,1,0.9645482,3.3034847
15,1,0.97373873,3.6130488
16,1,0.96610874,3.3501182
17,0,0.021077815,-3.838231
18,0,0.7073006,0.8823099
19,1,0.67105967,0.7129816
20,0,0.64827204,0.6114525
21,0,0.3159546,-0.77242565
22,1,0.9547052,3.0482094
23,0,0.9508289,2.9620273
24,1,0.96756303,3.3954813
25,0,0.019151306,-3.9360473
26,1,0.8646435,1.8544053
27,1,0.76516277,1.1811961
28,1,0.9380792,2.7179785
29,1,0.90010554,2.1983972
30,1,0.7920916,1.3375794
31,1,0.9658843,3.3432891
32,1,0.9777646,3.7835844
33,1,0.99012345,4.607665
34,1,0.98040044,3.9124553
35,0,0.43100175,-0.27776527
36,1,0.931885,2.6160123
37,0,0.2573766,-1.0596486
38,1,0.83203036,1.6000851
39,1,0.97645915,3.7251954
40,1,0.9720638,3.5494974
41,0,0.039494954,-3.1912863
42,1,0.93457043,2.6591132
43,0,0.020218289,-3.8807423
44,1,0.9375366,2.7086747
45,1,0.95778155,3.1217623
46,1,0.855461,1.7780912
47,0,0.6259136,0.5147254
48,1,0.95517045,3.059023
49,1,0.9206028,2.4505656
50,1,0.9907697,4.6759834
51,0,0.024267485,-3.694051
52,1,0.9335007,2.6417503
53,0,0.028731432,-3.5206113
54,1,0.6134673,0.4619105
55,1,0.97247297,3.5646749
56,1,0.9838186,4.107581
57,0,0.026095426,-3.6195533
58,1,0.8934715,2.1267016
59,0,0.8727019,1.9250627
60,1,0.9385431,2.7259934
61,0,0.29946622,-0.849841
62,1,0.98158616,3.9760706
63,1,0.97636765,3.7212236
64,1,0.96881896,3.436268
65,0,0.02215873,-3.7871158
66,1,0.9058301,2.2637506
67,1,0.9221212,2.471523
68,0,0.4192576,-0.3258216
69,1,0.9621506,3.2355568
70,1,0.9851933,4.1977596
71,0,0.8557965,1.7808073
72,0,0.2942894,-0.8746416
73,1,0.91117126,2.3280208
74,1,0.9603276,3.186619
75,0,0.032267075,-3.4009087
76,1,0.94959176,2.9358766
77,1,0.9635009,3.2732863
78,1,0.9517422,2.9817352
79,0,0.022321701,-3.7796214
80,1,0.95994085,3.1765134
81,1,0.96268535,3.2503407
82,1,0.9420731,2.788901
83,1,0.9492016,2.9277556
84,0,0.06361938,-2.6891038
85,1,0.5491031,0.19704747
86,0,0.23289879,-1.1920148
87,1,0.9586034,3.1422796
88,1,0.86902696,1.892383
89,0,0.5900046,0.3639844
90,1,0.95162636,2.9792173
91,1,0.9359628,2.6821115
92,0,0.06678099,-2.6372213
93,0,0.06056176,-2.7416184
94,1,0.96859723,3.428953
95,1,0.93736064,2.7056744
96,1,0.9649765,3.3160846
97,1,0.98041725,3.9133322
98,0,0.025347615,-3.6493962
99,1,0.83855194,1.6474932
100,1,0.81756926,1.4999648
101,0,0.015732178,-4.13619
102,1,0.9561425,3.08196
103,0,0.021669773,-3.809929
104,1,0.96808183,3.4121392
105,0,0.27200735,-0.9844618
106,1,0.978101,3.7991712
107,1,0.9727591,3.5754206
108,0,0.03735156,-3.2493136
109,1,0.5677673,0.27274773
110,0,0.42433238,-0.30501348
111,1,0.9789917,3.8416083
112,0,0.36207542,-0.56636757
113,0,0.04567709,-3.0394053
114,0,0.54731214,0.18981633
115,1,0.9086027,2.296692
116,1,0.95260495,3.0006826
117,1,0.9454972,2.8534584
