,y_true,y_prob,y_raw
0,0,0.026810085,-3.5918012
1,1,0.93465114,2.6604335
2,1,0.9295997,2.5805554
3,0,0.020952838,-3.8443058
4,1,0.984504,4.151555
5,1,0.95955235,3.1664588
6,1,0.9697976,3.4691677
7,1,0.9456222,2.8558872
8,1,0.93024147,2.5904052
9,1,0.31890854,-0.7587923
10,1,0.9346007,2.6596088
11,1,0.9633151,3.2680156
12,1,0.73586696,1.0245963
13,1,0.90498596,2.253895
14,1,0.95845586,3.138567
15,1,0.9659442,3.3451064
16,0,0.033199232,-3.3714657
17,1,0.97277045,3.575846
18,1,0.9918475,4.8012466
19,0,0.9643753,3.2984412
20,1,0.89666075,2.1606596
21,1,0.9837781,4.1050396
22,1,0.97412735,3.6283536
23,1,0.86620516,1.8678144
24,0,0.9338718,2.6477444
25,0,0.7581881,1.1427717
26,0,0.93046176,2.5938046
27,0,0.022204101,-3.785024
28,1,0.96976185,3.4679453
29,0,0.023902364,-3.7095852
30,1,0.9645482,3.3034842
31,1,0.94952005,2.9343796
32,1,0.85732836,1.7932746
33,1,0.96293974,3.2574465
34,1,0.8186869,1.507476
35,0,0.44305965,-0.22875386
36,1,0.93265545,2.628214
37,1,0.9534752,3.020127
38,1,0.83948123,1.6543736
39,1,0.917859,2.4136062
40,1,0.6811825,0.7592114
41,0,0.027665537,-3.5595124
42,1,0.9822689,4.0145454
43,0,0.53034204,0.121517465
44,1,0.67105967,0.7129815
45,1,0.9333803,2.6398125
46,1,0.71280336,0.9090385
47,1,0.9467599,2.8782337
48,0,0.6482721,0.61145264
49,1,0.9366181,2.693096
50,1,0.95046216,2.9542122
51,0,0.9508289,2.9620275
52,0,0.033793405,-3.353112
53,1,0.97879624,3.8321455
54,1,0.9805031,3.9178078
55,1,0.9584893,3.139405
56,1,0.9692077,3.4492128
57,1,0.76516277,1.1811961
58,1,0.9672317,3.3849766
59,0,0.04401581,-3.0781925
60,1,0.98448074,4.150031
61,0,0.3980799,-0.41347197
62,1,0.9296146,2.580784
63,0,0.28100333,-0.9394902
64,1,0.98268235,4.038558
65,1,0.9080767,2.290374
66,0,0.030116454,-3.4721043
67,1,0.9548897,3.0524857
68,1,0.9520252,2.9879162
69,1,0.9275543,2.5497143
70,1,0.8854785,2.0453656
71,1,0.931885,2.6160123
72,1,0.9722037,3.5546634
73,0,0.2573766,-1.0596486
74,1,0.9598172,3.173302
75,0,0.7394027,1.0428666
76,1,0.9676316,3.3976686
77,0,0.54502887,0.18060476
78,1,0.9019861,2.2194898
79,1,0.9246235,2.506892
80,0,0.034237403,-3.3395994
81,1,0.94631433,2.8694293
82,1,0.69021106,0.80110633
83,0,0.024002312,-3.70531
84,0,0.056050714,-2.8238156
85,0,0.027202442,-3.5768692
86,0,0.039494954,-3.1912863
87,1,0.9604881,3.19084
88,0,0.056766454,-2.8103683
89,1,0.9381385,2.7189982
90,1,0.9842891,4.137568
91,1,0.93457043,2.6591127
92,1,0.93774414,2.7122245
93,1,0.936925,2.6982782
94,0,0.0397405,-3.1848328
95,1,0.94758373,2.8946984
96,1,0.96759844,3.3966086
97,1,0.9491764,2.9272318
98,1,0.6938208,0.818043
99,0,0.03596835,-3.2884848
100,0,0.02476333,-3.6733162
101,0,0.67081213,0.71186066
102,1,0.9866404,4.3020725
103,0,0.62591356,0.5147253
104,0,0.015622992,-4.1432652
