,y_true,y_prob,y_raw
0,1,0.9534912,3.02049
1,1,0.9792749,3.8554685
2,0,0.021297302,-3.8276474
3,0,0.62411654,0.50705785
4,1,0.948924,2.922014
5,0,0.3587303,-0.5808792
6,0,0.03193491,-3.4115996
7,1,0.93340254,2.6401699
8,0,0.02118894,-3.8328593
9,1,0.95039326,2.95275
10,0,0.01912383,-3.937511
11,0,0.023926133,-3.708567
12,1,0.70266193,0.8600062
13,1,0.95969635,3.1701763
14,1,0.9780238,3.795576
15,0,0.015596909,-4.144963
16,0,0.020952838,-3.8443058
17,1,0.82755154,1.5683731
18,1,0.9265289,2.5345526
19,1,0.9717989,3.5397897
20,1,0.96817476,3.4151525
21,1,0.95362955,3.0236132
22,1,0.9677193,3.4004729
23,1,0.92385024,2.495848
24,1,0.9633151,3.2680156
25,0,0.027594678,-3.5621498
26,0,0.035693705,-3.2964346
27,1,0.90498596,2.253895
28,1,0.95845586,3.138567
29,0,0.6877294,0.7895255
30,1,0.8764775,1.959487
31,1,0.8191043,1.5102912
32,0,0.033199232,-3.3714657
33,1,0.91700304,2.4023063
34,1,0.9217349,2.4661562
35,1,0.9448299,2.8405836
36,1,0.982781,4.044373
37,0,0.036917374,-3.261457
38,1,0.89738137,2.168461
39,1,0.9450481,2.8447769
40,1,0.9562172,3.083744
41,0,0.037922066,-3.2335622
42,0,0.5241961,0.096860036
43,0,0.025717938,-3.6345122
44,0,0.035839118,-3.2922182
45,0,0.035951916,-3.2889588
46,0,0.62200254,0.49805668
47,0,0.023630865,-3.721287
48,1,0.96427166,3.2954276
49,1,0.9837781,4.1050396
50,1,0.9496399,2.9368844
51,0,0.026996892,-3.5846655
52,1,0.9480008,2.903128
53,0,0.2629352,-1.0307683
54,1,0.9264202,2.5329578
55,0,0.022975268,-3.7500937
56,0,0.018527817,-3.9697804
57,1,0.9302972,2.5912635
58,1,0.9482001,2.9071782
59,1,0.9861415,4.264906
60,1,0.8876783,2.0672421
61,0,0.74767387,1.0862447
62,0,0.019004337,-3.9439008
63,1,0.9456883,2.8571737
64,1,0.9413958,2.7765572
65,0,0.46921957,-0.123277605
66,1,0.9764798,3.7260935
67,0,0.03871511,-3.212041
68,0,0.041727338,-3.1339757
69,0,0.3512278,-0.6136467
70,1,0.9079359,2.288689
71,1,0.9460441,2.8641226
72,1,0.93575555,2.6786597
73,0,0.23663147,-1.1712371
74,1,0.95134324,2.9730854
75,1,0.99202955,4.82402
76,0,0.01210578,-4.4018927
77,1,0.92487055,2.5104406
78,1,0.76621413,1.187056
79,0,0.2781068,-0.95387197
80,1,0.85732836,1.7932746
81,1,0.85497993,1.7742053
82,0,0.025926288,-3.6262295
83,0,0.024955615,-3.665384
84,0,0.051162828,-2.920224
85,0,0.42866662,-0.2872935
86,0,0.016986616,-4.058197
87,1,0.94771785,2.8974025
88,1,0.8535412,1.7626493
89,1,0.97449684,3.6431198
90,1,0.8833079,2.024135
91,0,0.02563086,-3.637993
92,1,0.93881935,2.7307913
93,1,0.8269365,1.5640688
94,0,0.05206494,-2.9017942
95,1,0.9519287,2.9858038
96,1,0.98601216,4.2554817
97,0,0.043061644,-3.1011064
98,0,0.028421026,-3.5317934
99,1,0.97145814,3.5274265
100,1,0.29316923,-0.88004136
101,1,0.9534262,3.0190232
102,0,0.897917,2.1742907
103,1,0.95801616,3.1275814
104,0,0.01274613,-4.3496995
105,0,0.2600853,-1.0455252
106,0,0.53034204,0.121517465
107,1,0.67105967,0.7129815
108,1,0.9458324,2.8599815
109,1,0.965995,3.3466501
110,0,0.01695846,-4.0598845
111,1,0.94464284,2.8370001
112,1,0.7660627,1.186211
113,0,0.025401808,-3.6472049
114,0,0.36711708,-0.54460466
115,1,0.96375906,3.2806513
