,y_true,y_prob,y_raw
0,1,0.95969635,3.170176
1,1,0.9265289,2.5345523
2,0,0.035839092,-3.292219
3,1,0.9480008,2.903128
4,1,0.9861415,4.2649064
5,1,0.9413958,2.7765572
6,0,0.01210578,-4.4018927
7,1,0.7662141,1.1870557
8,0,0.025926288,-3.6262295
9,1,0.93881935,2.7307916
10,1,0.98601216,4.255481
11,0,0.028421013,-3.5317938
12,0,0.025401816,-3.6472046
13,0,0.021283044,-3.8283317
14,0,0.38749686,-0.4578463
15,1,0.87571245,1.9524399
16,1,0.9126115,2.3459463
17,1,0.9612379,3.2107804
18,1,0.9515062,2.97661
19,1,0.87578624,1.9531177
20,1,0.9315613,2.6109242
21,1,0.8444747,1.6919061
22,0,0.4003523,-0.40399745
23,0,0.024002312,-3.70531
24,0,0.020218296,-3.8807418
25,0,0.5058383,0.023354162
26,1,0.855461,1.7780911
27,1,0.96582407,3.3414607
28,0,0.017909963,-4.004326
29,1,0.9645903,3.304718
30,1,0.98158616,3.9760706
31,0,0.7009665,0.8519043
32,1,0.89867693,2.1826096
33,1,0.94719374,2.886873
34,0,0.022275891,-3.7817225
35,0,0.51768154,0.07075554
36,1,0.9539437,3.0307415
37,1,0.8175692,1.4999646
38,0,0.6724475,0.7192759
39,0,0.015732178,-4.13619
40,0,0.021216767,-3.8315184
41,0,0.019698726,-3.907306
42,1,0.9539257,3.0303295
