,y_true,y_prob,y_raw
0,0,0.026810085,-3.5918012
1,1,0.9023451,2.2235568
2,1,0.9861128,4.262806
3,1,0.955282,3.0616288
4,0,0.6374242,0.5642017
5,1,0.934554,2.6588438
6,0,0.026250772,-3.6134584
7,1,0.948924,2.922014
8,0,0.03239804,-3.3967228
9,0,0.051457074,-2.914179
10,1,0.84060067,1.6627043
11,0,0.023926133,-3.708567
12,1,0.70266193,0.8600062
13,1,0.9630153,3.2595675
14,1,0.95969635,3.1701763
15,1,0.94332933,2.8121583
16,1,0.96692574,3.3753684
17,1,0.9677145,3.4003205
18,1,0.8310806,1.5933055
19,1,0.9400751,2.7528672
20,1,0.9265289,2.5345526
21,1,0.95362955,3.0236132
22,0,0.028838597,-3.516778
23,0,0.4582072,-0.16756207
24,1,0.9593149,3.1603565
25,1,0.9456222,2.8558872
26,0,0.04138089,-3.1426747
27,1,0.9405775,2.7618213
28,0,0.482764,-0.06897118
29,1,0.9346007,2.6596088
30,0,0.025152082,-3.6573408
31,1,0.9099147,2.3125937
32,0,0.06139753,-2.7270224
33,1,0.9741882,3.6307719
34,1,0.96356547,3.275122
35,0,0.02403646,-3.7038534
36,0,0.6877294,0.7895255
37,0,0.018354962,-3.9793298
38,1,0.8705662,1.9059745
39,1,0.8764775,1.959487
40,1,0.9600537,3.1794527
41,0,0.87970555,1.9896444
42,1,0.9659442,3.3451064
43,1,0.95763886,3.1182396
44,1,0.88258076,2.0170996
45,0,0.46909615,-0.12377322
46,1,0.97277045,3.575846
47,1,0.9448299,2.8405836
48,1,0.90827954,2.292806
49,1,0.986349,4.2801933
50,1,0.89738137,2.168461
51,1,0.93282425,2.6309044
52,1,0.93981475,2.7482567
53,1,0.9450481,2.8447769
54,1,0.9562172,3.083744
55,1,0.9594639,3.16418
56,1,0.89666075,2.1606596
57,1,0.96586424,3.3426766
58,0,0.037922066,-3.2335622
59,0,0.5241961,0.096860036
60,1,0.9735396,3.6052887
61,1,0.9854499,4.2155056
62,1,0.95258564,3.0002542
63,0,0.049032744,-2.9649913
64,1,0.9723217,3.5590355
65,1,0.76311505,1.1698344
66,0,0.640669,0.57826877
67,0,0.62200254,0.49805668
68,1,0.90372425,2.2393079
69,1,0.9750954,3.6674798
70,0,0.645903,0.60107815
71,1,0.96089166,3.201524
72,1,0.96427166,3.2954276
73,1,0.9506705,2.9586444
74,1,0.91841584,2.4210153
75,1,0.9496399,2.9368844
76,1,0.9805132,3.918337
77,1,0.97412735,3.6283536
78,1,0.9360572,2.6836889
79,1,0.94031656,2.7571623
80,1,0.86620516,1.8678144
81,0,0.026996892,-3.5846655
82,1,0.9480008,2.903128
83,1,0.9408312,2.7663689
84,1,0.95173615,2.9816039
85,1,0.9264202,2.5329578
86,1,0.9492606,2.9289794
87,1,0.97433835,3.63676
88,1,0.9782164,3.8045762
89,1,0.9645056,3.3022406
90,1,0.978455,3.8158338
91,0,0.020100677,-3.8866963
