,y_true,y_prob,y_raw
0,1,0.97562623,3.6895702
1,1,0.955282,3.0616288
2,0,0.051457074,-2.914179
3,1,0.9723635,3.5605924
4,1,0.95955235,3.1664588
5,0,0.04138089,-3.1426747
6,0,0.482764,-0.06897118
7,0,0.031171346,-3.4365885
8,1,0.96356547,3.275122
9,0,0.018354962,-3.9793298
10,1,0.95763886,3.1182396
11,1,0.9918475,4.8012466
12,0,0.020818058,-3.8508966
13,1,0.93981475,2.7482567
14,0,0.9643753,3.2984412
15,1,0.9594639,3.16418
16,1,0.6149549,0.46818838
17,1,0.937613,2.70998
18,1,0.9408312,2.7663689
19,1,0.9584756,3.1390626
20,1,0.9646561,3.306647
21,1,0.94901055,2.9238007
22,1,0.9860263,4.256505
23,1,0.97621936,3.714813
24,1,0.96976185,3.4679453
25,1,0.9247328,2.5084608
26,1,0.97501546,3.6641967
27,0,0.041281205,-3.1451905
28,1,0.91320837,2.3534544
29,1,0.9647138,3.3083394
30,1,0.914383,2.368365
31,1,0.94364375,2.8180563
32,1,0.9543404,3.0398047
33,1,0.96293974,3.2574465
34,1,0.6885839,0.7935072
35,1,0.8186869,1.507476
36,1,0.9084788,2.2952008
37,0,0.021077815,-3.838231
38,1,0.83948123,1.6543736
39,1,0.9323313,2.6230643
40,1,0.9309539,2.601436
41,0,0.9034916,2.236637
42,1,0.9822689,4.0145454
43,0,0.040671248,-3.1607125
44,1,0.9566405,3.0939004
45,1,0.972728,3.5742452
46,1,0.96684104,3.3727212
47,1,0.96663666,3.3663628
48,1,0.95522726,3.0603492
49,1,0.9749076,3.6597764
50,1,0.9663041,3.3561044
51,1,0.96275216,3.2522042
52,1,0.77729625,1.2499789
53,1,0.96837145,3.4215567
54,1,0.94432276,2.8308976
55,0,0.046825577,-3.0133684
56,1,0.92739975,2.5474162
57,1,0.91501284,2.3764384
58,1,0.97735435,3.7648826
59,1,0.92389435,2.4964757
60,1,0.9468549,2.8801205
61,1,0.93724394,2.7036889
62,1,0.9658843,3.343289
63,0,0.020711677,-3.8561285
64,1,0.9764341,3.7241082
65,1,0.98448074,4.150031
